CSAFP,GEOID,NAME,CBSA_TYPE,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                             
,43100,"Sheboygan, WI Metro Area",1,1324905935,1967592839,511.549,759.692,43.7452,-87.73212
,41100,"St. George, UT Metro Area",1,6285757433,9061293,2426.945,3.499,37.262531,-113.4878
,46100,"Tullahoma-Manchester, TN Micro Area",2,2881810680,72645754,1112.673,28.049,35.303085,-86.111905
,49100,"Winona, MN Micro Area",2,1621558336,40131783,626.087,15.495,43.982268,-91.776708
,48100,"Wauchula, FL Micro Area",2,1651867901,1439673,637.79,0.556,27.492846,-81.82158
,21120,"Elk City, OK Micro Area",2,2335665266,5527154,901.805,2.134,35.270601,-99.690057
,11140,"Americus, GA Micro Area",2,1682454992,28173301,649.6,10.878,32.098355,-84.224304
,10140,"Aberdeen, WA Micro Area",2,4924343838,834767680,1901.3,322.306,47.113999,-123.826655
,13140,"Beaumont-Port Arthur, TX Metro Area",1,7859102612,764163739,3034.417,295.045,30.347833,-94.120371
,14140,"Bluefield, WV-VA Micro Area",2,2428775486,7356298,937.755,2.84,37.248463,-81.359375
,16140,"Carroll, IA Micro Area",2,1474835092,2145349,569.437,0.828,42.039492,-94.867647
,20140,"Dublin, GA Micro Area",2,2875636099,38264271,1110.289,14.774,32.530372,-82.856653
,22140,"Farmington, NM Metro Area",1,14289427705,55030762,5517.179,21.247,36.511624,-108.324578
,24140,"Goldsboro, NC Metro Area",1,1434638257,9855192,553.917,3.805,35.35419,-78.00867
,26140,"Homosassa Springs, FL Metro Area",1,1507111917,495578435,581.899,191.344,28.84364,-82.52481
,32140,"Marshall, MN Micro Area",2,1850315135,18794796,714.411,7.257,44.409195,-95.847268
,39140,"Prescott, AZ Metro Area",1,21039796372,11501575,8123.511,4.441,34.631212,-112.577385
,27160,"Jackson, OH Micro Area",2,1088598925,3167846,420.31,1.223,39.013477,-82.614142
,10180,"Abilene, TX Metro Area",1,7105577376,36847363,2743.479,14.227,32.452022,-99.718743
,14180,"Blytheville, AR Micro Area",2,2332480068,49826375,900.576,19.238,35.766944,-90.052207
,19180,"Danville, IL Metro Area",1,2326763522,7534491,898.368,2.909,40.186754,-87.726778
,21180,"Elkins, WV Micro Area",2,2692810852,667359,1039.7,0.258,38.781095,-79.867788
,28180,"Kapaa, HI Micro Area",2,1605492340,1674244223,619.884,646.429,22.012038,-159.705965
,32180,"Marshall, MO Micro Area",2,1956716997,29587339,755.493,11.424,39.13584,-93.204164
,33180,"Middlesborough, KY Micro Area",2,929806778,5480741,359,2.116,36.72268,-83.681046
,38180,"Pierre, SD Micro Area",2,8269319317,506022629,3192.802,195.376,44.498505,-100.370545
,40180,"Riverton, WY Micro Area",2,23784954724,213202754,9183.423,82.318,43.054831,-108.608935
,46180,"Tupelo, MS Micro Area",2,3834436442,36678576,1480.484,14.162,34.268271,-88.682907
,47180,"Vincennes, IN Micro Area",2,1336511182,20758112,516.03,8.015,38.688391,-87.420354
,48180,"Waycross, GA Micro Area",2,3193643597,46993509,1233.073,18.144,31.133114,-82.36865
,17200,"Claremont-Lebanon, NH-VT Micro Area",2,10107965005,175735101,3902.707,67.852,43.785741,-72.159125
,25200,"Hailey, ID Micro Area",2,12725414934,67810419,4913.31,26.182,43.325486,-114.19734
,42200,"Santa Maria-Santa Barbara, CA Metro Area",1,7084000622,2729814515,2735.148,1053.987,34.537057,-120.039973
,10220,"Ada, OK Micro Area",2,1865885740,12421415,720.423,4.796,34.721445,-96.69197
,13220,"Beckley, WV Metro Area",1,3281374202,27839855,1266.946,10.749,37.905556,-81.163907
,15220,"Brownwood, TX Micro Area",2,2446084213,32411546,944.438,12.514,31.764103,-98.99847
,17220,"Clarksburg, WV Micro Area",2,2353000494,10811595,908.499,4.174,39.28835,-80.43153
,16220,"Casper, WY Metro Area",1,13831948351,90949279,5340.545,35.116,42.977645,-106.768219
,20220,"Dubuque, IA Metro Area",1,1575488090,21138790,608.299,8.162,42.463481,-90.878771
,19220,"Danville, KY Micro Area",2,1329030822,15775932,513.142,6.091,37.507848,-84.735684
,21220,"Elko, NV Micro Area",2,55283025883,96819143,21344.897,37.382,40.906086,-115.554577
,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",1,8192650898,129200254,3163.2,49.884,36.197633,-94.119897
,24220,"Grand Forks, ND-MN Metro Area",1,8825205589,77326482,3407.431,29.856,47.835929,-96.842681
,26220,"Hood River, OR Micro Area",2,1352203450,29040461,522.089,11.213,45.511775,-121.655976
,27220,"Jackson, WY-ID Micro Area",2,11514925111,573732497,4445.938,221.519,44.048662,-110.426072
,31220,"Ludington, MI Micro Area",2,1281901694,1935678152,494.945,747.37,43.996636,-86.750814
,34220,"Moultrie, GA Micro Area",2,1416682032,25006488,546.984,9.655,31.189707,-83.769773
,39220,"Price, UT Micro Area",2,3831067724,15844443,1479.184,6.118,39.673284,-110.588484
,40220,"Roanoke, VA Metro Area",1,4836707818,72498836,1867.463,27.992,37.286226,-79.946935
,46220,"Tuscaloosa, AL Metro Area",1,7371842758,133627364,2846.285,51.594,33.160611,-87.715166
,48220,"Weatherford, OK Micro Area",2,2561032754,34321688,988.82,13.252,35.645601,-98.997386
,23240,"Fredericksburg, TX Micro Area",2,2740716834,9015052,1058.197,3.481,30.325091,-98.941851
,38240,"Pinehurst-Southern Pines, NC Micro Area",2,1806961891,20736340,697.672,8.006,35.308272,-79.492725
,47240,"Vineyard Haven, MA Micro Area",2,267309256,1004275270,103.209,387.753,41.38097,-70.701499
,12260,"Augusta-Richmond County, GA-SC Metro Area",1,9015173678,262575077,3480.778,101.381,33.460371,-81.982833
,11260,"Anchorage, AK Metro Area",1,68180115698,2320240347,26324.491,895.85,62.212784,-149.678222
,15260,"Brunswick, GA Metro Area",1,3331359650,829052436,1286.245,320.099,31.301739,-81.588909
,16260,"Cedar City, UT Micro Area",2,8537474409,11390956,3296.337,4.398,37.909304,-113.30674
,17260,"Clarksdale, MS Micro Area",2,1431035290,79322563,552.526,30.627,34.22867,-90.603165
,18260,"Cookeville, TN Micro Area",2,2960951079,35466927,1143.23,13.694,36.277251,-85.468501
,19260,"Danville, VA Micro Area",2,2620434771,26360616,1011.756,10.178,36.811853,-79.400122
,20260,"Duluth, MN-WI Metro Area",1,21789623252,2075746628,8413.021,801.45,47.329701,-92.376259
,21260,"Ellensburg, WA Micro Area",2,5949976954,92436005,2297.299,35.69,47.124444,-120.676714
,22260,"Fergus Falls, MN Micro Area",2,5107436184,654101087,1971.992,252.55,46.405725,-95.714578
,24260,"Grand Island, NE Metro Area",1,5551255812,67089958,2143.352,25.904,41.038567,-98.272835
,26260,"Hope, AR Micro Area",2,3484461197,42626475,1345.358,16.458,33.700708,-93.499761
,28260,"Kearney, NE Micro Area",2,3844408178,19202541,1484.334,7.414,40.739145,-99.031556
,29260,"La Grande, OR Micro Area",2,5275597066,4989941,2036.92,1.927,45.304081,-117.999149
,31260,"Lufkin, TX Micro Area",2,2066241599,173338077,797.78,66.926,31.251951,-94.611056
,34260,"Mountain Home, AR Micro Area",2,1435438032,84171993,554.226,32.499,36.280759,-92.330476
,32260,"Marshalltown, IA Micro Area",2,1482776070,1803080,572.503,0.696,42.041691,-92.981452
